date,agency,subject,message
11/7/22 7:09 AM,NYC,"MANH, QNS, R Train, Trains Rerouted","There is no northbound R service at 5 Av/59 St, Lexington Av/59 St or Queens Plaza while we investigate a switch problem near Queens Plaza. Northbound R trains are running on the Q line from 57 St-7 Av to Lexington Av/63 St and then on the F line to 36 St (Queens). For service to 5 Av/59 St and Lexington Av/59 St, take N/W trains. For R service from 5 Av/59 St to Queens, take a southbound R train to 57 St-7 Av for a northbound R train. For R service from Lexington Av/59 St to Queens, take a southbound 6 train to 51 St and transfer to a Forest Hills-bound M train."
11/7/22 6:36 AM,NYC,"Update: MANH, A Train, Delays","A trains are running with extensive delays in both directions after we removed debris from the tracks near Dyckman St. A trains have resumed making regularly scheduled stops from 168 St to Inwood-207 St. While trains get back on schedule, consider using B/C or D trains,"
11/7/22 5:13 AM,NYC,"MANH, A Train, Part Suspended","There is no A train service between 207 St and 168 St while crews remove debris from the tracks near Dyckman St. For service between Inwood-207 St and 168 St, consider using nearby 1 train service, Bx7 or M4 buses. Transfer between 1 and A trains at 168 St."
11/7/22 4:58 AM,NYC,"SI, SIR Train, Trip not running",The 6:04 AM SIR from Tottenville will not run. We're running as much service as we can with the train crews we have available.
11/7/22 4:19 AM,NYC,"Update: MANH, A and E Trains, Delays",Southbound A/E trains are running with delays after NYPD responded to a person being disruptive at W 4 St-Wash Sq.
11/7/22 4:16 AM,NYC,"Update: A and E Trains, Local to Express","Southbound A trains are running express from 59 St to Canal St. Southbound E trains are running express from 42 St to Canal St. NYPD is responding to a person being disruptive at W 4 St-Wash Sq. For service to/from 50 St, take an E train, For service to/from 23 St and Spring St, take a northbound train."
11/7/22 4:08 AM,NYC,"MANH, A and E Trains, Delays",Southbound A/E trains are delayed while NYPD responds to a person being disruptive at W 4 St-Wash Sq.
11/7/22 4:00 AM,NYC,"Update: MANH, 4 Train, Delays",Northbound 4 trains are running with delays after NYPD conducted an investigation at 125 St.
11/7/22 3:58 AM,NYC,"MANH, 4 Train, Delays",Northbound 4 trains are delayed while NYPD conducts an investigation at 125 St.
11/7/22 3:42 AM,NYC,"Update: BKLYN, J Train, Delays",J trains are running with delays in both directions after NYPD conducted an investigation at Cypress Hills. J trains have resumed making regularly scheduled stops between Crescent St and Jamaica Center-Parsons/Archer in both directions.
Menu,Menu,Menu,Menu
...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages
11/7/22 3:24 AM,NYC,"MANH, Q Train, Delays",Q trains are running with delays in both directions after we removed a vandalized train from service at 72 St.
11/7/22 2:55 AM,NYC,"MANH, 2 and 3 Trains, Delays",2/3 trains are running with delays in both directions after we performed urgent track maintenance near Central Park North (110 St). Northbound 2 trains have resumed making regularly scheduled stops from Nevins St to 149 St-Grand Concourse.
11/7/22 2:50 AM,NYC,"BKLYN, J Train, Delays","There is no J train service between Crescent St and Jamaica Center while NYPD conducts an investigation at Cypress Hills. The last stop on Jamaica Center-Parsons/Archer-bound J trains will be Crescent St, where they will turn for Broad St-bound service. For service between Crescent St and Jamaica Center-Parsons/Archer, consider using nearby Q24 or Q56 buses. Get a courtesy pass from a Station Agent to continue your trip."
11/7/22 2:19 AM,NYC,"BX, BKLYN, 2 and 3 Trains, Multiple Changes","Northbound 2 trains are running via 5 line from Nevins St to 149 St-Grand Concourse. 3 trains are delayed in both directions. We are performing urgent track maintenance near Central Park North (110 St). For uptown service, consider using 1 or nearby A/D trains. For service between Manhattan and the Bronx, consider using rerouted 2, 4 or D trains."
11/7/22 1:34 AM,NYC,"Update: MANH, 1 and 2 Trains, Delays",1/2 trains are running with delays in both directions after we moved a train with mechanical problems near 14 St. 2 trains have resumed running regular service in both directions between Nevins St and 149 St-Grand Concourse.
11/7/22 1:28 AM,NYC,"Update: BX, BKLYN, 1 and 2 Trains, Multiple Changes",2 trains are running via the 5 line from Nevins St to 149 St-Grand Concourse in both directions. Some southbound 1 trains will end at 34 St. Crews are addressing a mechanical problem on a train near 14 St. Northbound 1/2 trains are delayed.
11/7/22 1:02 AM,NYC,"Update: BKLYN, 2 and 4 Trains, Delays",Southbound 2/4 trains are running with delays after EMS responded to a customer in need on a train at Atlantic Av-Barclays Ctr. Southbound 2/4 trains have resumed making regularly scheduled stops from Atlantic Av to Franklin Av.
11/7/22 12:52 AM,NYC,"MANH, 1 and 2 Trains, Delays",Northbound 1/2 trains are delayed while crews address a mechanical problem on a train near 14 St.
11/7/22 12:35 AM,NYC,"2 and 4 Trains, Local to Express","Southbound 2/4 trains are running express from Atlantic Av to Franklin Av while EMS responds to a customer in need on a train at Atlantic Av. For service to/from bypassed stops, take a northbound train."
11/7/22 12:21 AM,NYC,"Update: BX, 4 Train, Delays",4 trains are running with delays in both directions after crews addressed a switch problem near Burnside Av.
11/6/22 11:40 PM,NYC,"Update: BX, 4 Train, Delays",Northbound 4 trains are running at slower speeds near Burnside Av while crews address a switch problem in the area. Northbound 4 trains have resumed making local stops from 167 St to Burnside Av.
11/6/22 11:34 PM,NYC,"Update: MANH, 6 Train, Delays",Southbound 6 trains are running with delays after NYPD/EMS responded to a person in need at 125 St.
11/6/22 11:28 PM,NYC,"MANH, 6 Train, Delays",Southbound 6 trains are delayed while NYPD/EMS respond to a customer in need at 125 St.
11/6/22 11:18 PM,NYC,"Update: MANH, 4 Train, Delays",Northbound 4 trains are running with delays after NYPD/EMS responded to a person in need at 14 St-Union Sq.
11/6/22 11:10 PM,NYC,"MANH, 4 Train, Delays",Northbound 4 trains are delayed while NYPD/EMS responds to a person in need at 14 St-Union Sq.
11/6/22 10:44 PM,NYC,"SI, SIR Train, Delays",The following SIR trips will not run: From St George : 11:06 PM From Tottenville : 12:01 AM We are running as much service as we can with the train crews we have available.
11/6/22 10:20 PM,NYC,"BX, 4 Train, Local to Express","Northbound 4 trains are running express from 167 St to Burnside Av while we address a switch problem near Burnside Av. For service to/from bypassed stations, take a southbound train."
11/6/22 9:40 PM,NYC,"Update: BX, 5 Train, Delays",Southbound 5 trains are running with delays after NYPD responded to people being disruptive at 138 St-Grand Concourse.
11/6/22 9:37 PM,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while NYPD responds to people being disruptive at 138 St-Grand Concourse.
11/6/22 9:31 PM,NYC,"Update: BX, 4 Train, Delays",Southbound 4 trains are running with delays after NYPD conducted an investigation at 149 St-Grand Concourse.
11/6/22 9:30 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays after we removed debris from the tracks at Central Park North (110 St).
11/6/22 9:20 PM,NYC,"Update: MANH, A, C, and E Trains, Delays",Northbound A/C/E trains are running with delays after we removed a train in need of cleaning from service at 23 St.
11/6/22 9:10 PM,NYC,"MANH, A, C, and E Trains, Delays",Southbound A/C/E trains are delayed while we remove a train in need of cleaning from service at 23 St.
11/6/22 9:01 PM,NYC,"BX, 4 Train, Delays",Southbound 4 trains are delayed while NYPD conducts an investigation at 149 St-Grand Concourse.
11/6/22 8:55 PM,NYC,"Update: MANH, D Train, Delays",Southbound D trains are running with delays after we addressed a signal problem near 145 St.
11/6/22 8:50 PM,NYC,"Update: MANH, C Train, Delays",Southbound C trains are running with delays after EMS assisted a person in need and removed a train in need of cleaning from service at 96 St.
11/6/22 8:47 PM,NYC,"MANH, D Train, Delays",Southbound D trains are delayed while we address a signal problem near 145 St.
11/6/22 8:47 PM,NYC,"MANH, C Train, Delays",Southbound C trains are delayed while we request EMS assistance for a person in need and remove a train in need of cleaning from service at 96 St.
11/6/22 8:27 PM,NYC,"Update: QNS, A Train, Delays",Far Rockaway-bound A trains are running with delays after we moved a train that had its brakes activated at Aqueduct-N Conduit Av.
11/6/22 8:16 PM,NYC,"QNS, A Train, Delays",Far Rockaway-bound A trains are delayed while we investigate why a train's brakes activated at Aqueduct-N Conduit Av.
11/6/22 8:09 PM,NYC,"Update: QNS, A Train, Delays",Far Rockaway-Mott Av-bound A trains are running with delays after we moved a train that had its brakes activated at Aqueduct-N Conduit Av.
11/6/22 8:09 PM,NYC,"Update: BX, 4 Train, Delays",Northbound 4 trains are running with delays after we removed a vandalized car from service at 149 St-Grand Concourse.
11/6/22 7:53 PM,NYC,"BX, 4 Train, Delays",Northbound 4 trains are delayed while we remove a vandalized car from service at 149 St-Grand Concourse.
11/6/22 7:47 PM,NYC,"QNS, A Train, Delays",Far Rockaway-Mott Av-bound A trains are delayed while we investigate why a train's brakes were activated at Aqueduct-N Conduit Av.
11/6/22 6:44 PM,NYC,"Update: MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are running with delays after we requested NYPD assistance with a person being disruptive at Times Sq-42 St.
